1.000,0.020,0.040,3.000,1.000
2.000,0.020,0.080,1.000,1.000
1.000,0.050,0.100,2.000,1.000
2.000,-0.020,0.060,2.000,1.000
3.000,-0.030,0.000,2.000,1.000
4.000,0.050,0.100,2.000,1.000
5.000,0.000,0.100,1.000,1.000
6.000,0.040,0.180,4.000,1.000
7.000,0.000,0.180,2.000,1.000
8.000,0.020,0.220,1.000,1.000
9.000,-0.020,0.180,1.000,1.000
10.000,0.020,0.220,5.000,1.000
11.000,-0.020,0.180,3.000,1.000
12.000,-0.020,0.140,3.000,1.000
13.000,-0.010,0.120,1.000,0.000
14.000,0.020,0.160,2.000,0.000
15.000,0.020,0.200,5.000,1.000
16.000,-0.010,0.180,2.000,1.000
17.000,0.100,0.380,19.000,1.000
18.000,0.010,0.400,1.000,0.000
19.000,0.020,0.440,16.000,1.000
20.000,-0.020,0.400,1.000,0.000
21.000,0.020,0.440,2.000,1.000
22.000,0.040,0.520,10.000,1.000
23.000,0.050,0.620,21.000,1.000
24.000,0.020,0.660,1.000,0.000
25.000,-0.020,0.620,5.000,1.000
26.000,0.120,0.860,20.000,1.000
27.000,0.010,0.880,1.000,1.000
28.000,0.000,0.880,4.000,1.000
29.000,0.130,1.140,30.000,1.000
30.000,-0.050,1.040,3.000,1.000
31.000,0.020,1.080,1.000,0.000
32.000,0.000,1.080,4.000,1.000
33.000,-0.010,1.060,1.000,0.000
34.000,-0.090,0.880,4.000,1.000
35.000,0.020,0.920,1.000,0.000
36.000,0.100,1.120,79.000,1.000
37.000,0.170,1.460,22.000,1.000
38.000,0.030,1.520,2.000,0.000
39.000,-0.050,1.420,13.000,1.000
40.000,0.020,1.460,1.000,0.000
41.000,0.120,1.700,28.000,1.000
42.000,-0.050,1.600,60.000,1.000
43.000,0.050,1.700,10.000,1.000
44.000,-0.010,1.680,1.000,0.000
45.000,-0.240,1.200,111.000,1.000
46.000,0.020,1.240,1.000,0.000
47.000,-0.040,1.160,37.000,1.000
48.000,0.010,1.180,1.000,0.000
49.000,-0.010,1.160,78.000,1.000
50.000,0.010,1.180,1.000,0.000
51.000,0.300,1.780,191.000,1.000
52.000,-0.140,1.500,307.000,1.000
53.000,-0.090,1.320,41.000,1.000
54.000,0.120,1.560,59.000,1.000
55.000,0.050,1.660,197.000,1.000
56.000,-0.020,1.620,1.000,0.000
57.000,0.010,1.640,376.000,1.000
58.000,-0.010,1.620,1.000,0.000
59.000,0.010,1.640,23.000,1.000
60.000,-0.010,1.620,1.000,0.000
61.000,0.190,2.000,56.000,1.000
62.000,0.020,2.040,1.000,0.000
63.000,-0.360,1.320,799.000,1.000
64.000,-0.010,1.300,1.000,0.000
